id,left_employee_flag,age_years,tenure_below_1yr_flag,manager_flag,climate,climate_change,question 21,question 23
335,Leaving employees,37,0,0,68.0,,,
336,Staying employees,27,0,0,79.1,12.7,84.0,82.0
337,Staying employees,40,0,0,100.0,,,100.0
338,Staying employees,29,0,1,93.5,-8.7,,100.0
339,Staying employees,27,1,0,78.2,-1.2,,75.0
340,Staying employees,27,0,0,76.7,-8.7,84.5,82.0
341,Leaving employees,37,0,0,66.0,,0.0,
342,Leaving employees,26,0,0,38.5,,,88.0
343,Leaving employees,25,0,0,26.0,,7.0,
344,Leaving employees,36,1,0,87.0,,,
345,Staying employees,28,1,0,90.8,2.2,100.0,
346,Staying employees,44,0,0,94.0,,89.0,
347,Leaving employees,31,0,0,53.5,,0.0,25.0
348,Staying employees,33,0,1,65.0,10.0,60.0,60.0
349,Staying employees,34,0,0,65.5,,30.0,90.0
350,Staying employees,55,0,0,94.3,-9.5,84.0,98.0
351,Staying employees,30,0,1,82.3,-5.3,,86.0
352,Staying employees,51,0,0,58.5,,,
353,Staying employees,43,1,0,100.0,0.0,,100.0
354,Staying employees,31,1,0,62.8,-23.0,18.0,75.0
355,Staying employees,29,1,1,85.3,12.0,82.0,100.0
356,Staying employees,36,0,0,83.4,21.3,100.0,100.0
357,Staying employees,45,0,0,100.0,0.0,41.0,
358,Staying employees,55,0,0,76.1,5.7,93.5,98.0
359,Staying employees,46,0,0,98.7,0.0,,100.0
360,Staying employees,31,0,1,91.6,-0.3,75.0,90.0
361,Staying employees,28,0,0,98.4,3.7,95.0,100.0
362,Staying employees,34,0,0,77.2,-2.0,55.0,85.0
363,Staying employees,52,0,0,,,,
364,Staying employees,38,1,0,80.0,0.0,,89.0
365,Staying employees,45,0,0,92.9,6.7,,100.0
366,Staying employees,36,0,0,40.5,19.5,40.0,57.0
367,Staying employees,44,0,0,72.8,,,100.0
368,Leaving employees,37,1,0,100.0,,100.0,
369,Staying employees,40,0,0,39.9,-21.3,0.0,16.0
370,Staying employees,32,0,0,100.0,,50.0,100.0
371,Staying employees,21,1,0,84.6,-14.0,41.0,70.0
372,Staying employees,44,0,0,26.8,3.7,,66.0
373,Staying employees,25,0,0,27.0,17.7,,83.0
374,Staying employees,43,0,1,100.0,0.0,,100.0
375,Staying employees,39,0,0,100.0,0.0,,100.0
376,Leaving employees,31,0,0,100.0,,,
377,Staying employees,57,0,0,75.0,,,
378,Staying employees,41,1,0,98.6,2.3,100.0,
379,Staying employees,30,0,0,49.0,-3.8,32.0,41.0
380,Staying employees,36,0,0,69.0,7.5,77.0,
381,Leaving employees,38,0,0,100.0,,100.0,100.0
382,Staying employees,49,0,1,90.7,4.7,72.0,100.0
383,Staying employees,34,0,0,71.9,54.7,15.0,100.0
384,Staying employees,31,0,0,75.9,16.3,80.0,100.0
385,Staying employees,31,1,0,100.0,,,
386,Staying employees,31,1,0,78.4,9.0,75.0,93.0
387,Staying employees,31,0,1,78.0,-8.0,59.0,80.0
388,Staying employees,25,0,0,57.0,,,100.0
389,Leaving employees,32,0,0,68.0,,,
390,Leaving employees,54,0,0,92.5,-10.7,100.0,100.0
391,Leaving employees,29,0,0,100.0,0.0,100.0,100.0
392,Staying employees,53,0,0,7.5,5.0,,
393,Staying employees,35,0,0,36.7,-15.0,14.0,70.0
394,Staying employees,50,0,0,94.0,6.3,50.0,100.0
395,Staying employees,43,0,0,87.4,-3.0,97.0,100.0
396,Staying employees,42,0,0,,,,
397,Staying employees,59,0,0,92.3,15.3,100.0,100.0
398,Staying employees,46,0,0,85.3,-15.7,,100.0
399,Staying employees,30,0,0,100.0,0.0,77.5,100.0
400,Staying employees,34,0,1,91.3,15.3,,100.0
401,Staying employees,58,0,0,81.3,-8.3,77.0,98.0
402,Leaving employees,20,0,0,93.5,,100.0,100.0
403,Leaving employees,39,0,0,0.0,,,0.0
404,Staying employees,32,0,0,45.6,2.7,,73.0
405,Staying employees,27,0,0,92.9,2.0,74.5,100.0
406,Staying employees,37,0,0,90.3,4.0,,100.0
407,Staying employees,41,0,0,58.2,1.7,44.0,
408,Staying employees,47,0,0,92.3,12.7,71.0,100.0
409,Staying employees,46,0,0,42.3,-33.0,35.0,78.5
410,Staying employees,33,0,1,83.9,2.3,,90.0
411,Leaving employees,34,0,0,100.0,,100.0,100.0
